category,likes,dislikes,ratio_likes_dislikes
Pets & Animals,49724.0,623.0,79.81380417335473
Education,45209.0,890.0,50.79662921348314
Gaming,7683.0,164.0,46.84756097560975
Science & Technology,160742.0,4072.0,39.474950884086454
Comedy,860087.0,22772.0,37.769497628666784
Music,4722174.0,140899.0,33.514602658642005
People & Blogs,326769.0,11033.0,29.61742046587511
Autos & Vehicles,20498.0,728.0,28.15659340659341
Travel & Events,1661.0,70.0,23.728571428571428
Entertainment,858276.0,42437.0,20.224709569479465
Film & Animation,92770.0,5994.0,15.477143810477145
Howto & Style,439738.0,33800.0,13.01
Sports,28449.0,3870.0,7.351162790697674
News & Politics,23855.0,3524.0,6.769296254256528
