video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
2Vv-BfVoq4g,17.14.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,2017-11-09T11:04:14.000Z,"edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",33523622,1634124,21082,85067,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,False,False,False,"🎧: https://ad.gt/yt-perfect\n💰: https://atlanti.cr/yt-album\nSubscribe to Ed's channel: http://bit.ly/SubscribeToEdSheeran\n\nFollow Ed on...\nFacebook: http://www.facebook.com/EdSheeranMusic\nTwitter: http://twitter.com/edsheeran\nInstagram: http://instagram.com/teddysphotos\nOfficial Website: http://edsheeran.com\n\nDirector: Jason Koenig\nProducer: Honna Kimmerer\nStarring: Ed Sheeran & Zoey Deutch \nDirector of Photography: Johnny Valencia\nProduction Company: Anonymous Content\nExec Producer: Nina Soriano\nProduction Manager: Doug Hoff\nCommissioner: Dan Curwin\nProduction Designer: John Lavin\nLead Casting: Amy Hubbard \n \nWritten by: Jason Koenig, Ed Sheeran, Andrew Kolvet, Jenny Koenig, Murray Cummings\n\nEdited by: Jason Koenig & Johnny Valencia\nVFX: Ian Hubert\n\nCast: Bo Valencia, Dennis Ranalta, Arthur Pauli\n \nSki Cinematography: Corey Koniniec\nSpecialty Camera op: Ryan Haug\n1st AC: Ryan Brown\n \n1st Assistant Director: Ole Zapatka\nArt Director: Klaus Hartl\nSnow fx: Lucien Stephenson\n\nGaffer: Thomas Berz\nStylist: Claudia Lajda\nHair & Makeup: Christel Thoresen\nAustrian Casting: Ursula Kiplinger\n \nAdditional VFX: Zoic\n\nSpecial Thanks to: The Hintertux Glacier, Austria;\nThe Tenne, and Hotel Neuhintertux"
n1WpP7iowLc,17.14.11,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,10,2017-11-10T17:00:03.000Z,"Eminem|""Walk""|""On""|""Water""|""Aftermath/Shady/Interscope""|""Rap""",17158531,787419,43420,125882,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,False,False,False,Eminem's new track Walk on Water ft. Beyoncé is available everywhere: http://shady.sr/WOWEminem \nPlaylist Best of Eminem: https://goo.gl/AquNpo\nSubscribe for more: https://goo.gl/DxCrDV\n\nFor more visit: \nhttp://eminem.com\nhttp://facebook.com/eminem\nhttp://twitter.com/eminem\nhttp://instagram.com/eminem\nhttp://eminem.tumblr.com\nhttp://shadyrecords.com\nhttp://facebook.com/shadyrecords\nhttp://twitter.com/shadyrecords\nhttp://instagram.com/shadyrecords\nhttp://trustshady.tumblr.com\n\nMusic video by Eminem performing Walk On Water. (C) 2017 Aftermath Records\nhttp://vevo.ly/gA7xKt
9wg3v-01yKQ,17.14.11,Harry Styles - Kiwi,HarryStylesVEVO,10,2017-11-08T13:00:01.000Z,"Columbia|""Harry Styles""|""Kiwi""|""Pop""",9632678,810895,16139,59473,https://i.ytimg.com/vi/9wg3v-01yKQ/default.jpg,False,False,False,Harry Styles' self-titled debut album is available now: http://hstyles.co.uk/music\n\niTunes: http://smarturl.it/HS-iTunes\nApple Music: http://smarturl.it/HS-AM\nSpotify: http://smarturl.it/HS-Spotify\nLimited edition CD: http://smarturl.it/HS-LtdEd-CD\nWhite vinyl: http://smarturl.it/HS-WhiteVinyl\nPhoto editions: http://smarturl.it/HarryStylesStore\nTarget: http://smarturl.it/HS-Target\nAmazon MP3: http://smarturl.it/HS-AmazonMP3\nDeezer: http://smarturl.it/HS-Deezer\n\nBest of Harry Styles: https://goo.gl/UzwxNi\nHarry Styles - Harry Styles (Album 2017) https://goo.gl/z1GUVh\nSubscribe here: https://goo.gl/6UDD4P\n\nDirector: Us\nExec Producer: Morgan Clement \nExec Producer (usa): Sheira Rees-Davies\nProducer: Steve Overs\nDoP: Ben Fordesman\nArtist Stylist: Harry Lambert\nCostume Stylist: Sharon Long \nArt Director: Dan Betteridge\nCasting: HammondCox Casting\nEditor: David Stevens @ The Assembly Rooms\nColourist: Simone Grattarola @ Time Based Arts\nProduction Company: Academy +
9t9u_yPEidY,17.14.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,"Jennifer Lopez ft. Wisin|""Jennifer Lopez ft. Wisin Music""|""Jennifer Lopez ft. Wisin Official Video""|""Jennifer Lopez ft. Wisin Video""|""Jennifer Lopez ft. Wisin Video Oficial""|""Jennifer Lopez ft. Wisin Nuevo Video""|""Jennifer Lopez ft. Wisin New Video""|""Amor""|""Amor Official Video""|""Official Video""|""Amor Single""|""Single""|""Jennifer Lopez ft. Wisin New Single""|""Jennifer Lopez ft. Wisin Single""|""Jennifer Lopez ft. Wisin Amor""|""Jennifer""|""Lopez""",9548677,190083,15015,11473,https://i.ytimg.com/vi/9t9u_yPEidY/default.jpg,False,False,False,"Jennifer Lopez ft. Wisin - Amor, Amor, Amor (Official Music Video)\n“Amor, Amor, Amor” is available on these digital platforms!\niTunes: http://smarturl.it/AAAi\nApple Music: http://smarturl.it/AAAap\nSpotify: http://smarturl.it/AAAs\nAmazon Music: http://smarturl.it/AAAam\nGoogle Play: http://smarturl.it/AAAgp\nVideo: http://smarturl.it/AAAv\nLinkfire: https://SML.lnk.to/AAA\n\nFollow JLO!\nOfficial Site: http://www.jenniferlopez.com\nFacebook: https://www.facebook.com/jenniferlopez\nInstagram: https://www.instagram.com/jlo\nTwitter: https://twitter.com/jlo\nOfficial music video by Jennifer Lopez ft. Wisin performing Amor, Amor, Amor. (C) 2017 Sony Music Entertainment US Latin LLC"
Jw1Y-zhQURU,17.14.11,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,26,2017-11-10T07:38:29.000Z,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7224515,55681,10247,9479,https://i.ytimg.com/vi/Jw1Y-zhQURU/default.jpg,False,False,False,"Click here to continue the story and make your own monster:\nhttp://bit.ly/2mboXgj\n\nJoe befriends a noisy Monster under his bed but the two have so much fun together that he can't get to sleep, leaving him tired by day. For Christmas Joe receives a gift to help him finally get a good night’s sleep.\n\nShop the ad\nhttp://bit.ly/2hg04Lc\n\nThe music is Golden Slumbers performed by elbow, the original song was by The Beatles. \nFind the track:\nhttps://Elbow.lnk.to/GoldenSlumbersXS\n\nSubscribe to this channel for regular video updates\nhttp://bit.ly/2eU8MvW\n\nIf you want to hear more from John Lewis:\n\nLike John Lewis on Facebook\nhttp://www.facebook.com/johnlewisretail\n\nFollow John Lewis on Twitter\nhttp://twitter.com/johnlewisretail\n\nFollow John Lewis on Instagram\nhttp://instagram.com/johnlewisretail"
pz95u3UVpaM,17.14.11,Camila Cabello - Havana (Vertical Video) ft. Young Thug,CamilaCabelloVEVO,10,2017-11-10T05:01:00.000Z,"camila cabello|""camila""|""young thug""|""havana""|""fifth harmony""|""5h""|""harmonizers""|""crying in the club""|""omg""|""i have questions""|""know no better""|""lauren jauregui""|""dinah jane""|""normandi kordei""|""ally brooke""|""lele""|""pons""|""lelepons""|""shawn mendes""|""LeLe Pons""|""LuJuan James""|""influencers""|""instagram influencer""|""lele instagram""|""latina influencer""|""lelepons dance videos""|""lele pons dance battle""|""Camila Cabello feat. Young Thug""|""Havana""|""Pop""|""Syco Music/Epic""",5476737,286268,4083,12254,https://i.ytimg.com/vi/pz95u3UVpaM/default.jpg,False,False,False,"Havana – Spotify Vertical Video \nVideo Director: Sam Lecca\nAvailable at Spotify: http://smarturl.it/Havana_Sptfy \n\nFind Camila Here: \nTwitter: @camila_cabello\nIG: @camila_cabello \nFacebook: @97camilacabello \nWebsite: www.camilacabello.com \n \n#Havana\n#HAVANAtheMOVIE\n#Camila\n#CamilaCabello\n \n(C) 2017 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment Category: Music License: Standard YouTube License\n \nCategory: Music"
g5c1bk8weaQ,17.14.11,FIRST TIME IM DOING THIS! TALKS WITH LIZA.,Liza Koshy,23,2017-11-10T03:43:43.000Z,"liza|""lizza""|""lizzza""|""lizzzavine""|""lizzzak""|""lizzzako""|""koshy""|""lizakoshy""|""wednesdays""|""top picks topics""|""conversations""|""boob talk""|""period talk""|""girl talk""|""talking to you""|""liza q and a""|""liza topics""|""liza koshy""|""liza koshy too""|""liza koshy characters""|""tea with liza""|""boobs""|""boob size""|""breast milk""|""having kids""|""when im having kids""|""liza pregnant""|""liza david pregnant""|""liza david kids""|""naming kids""|""kids names""|""comedy""|""improv""|""sketch""|""series""",3578502,307435,2573,12248,https://i.ytimg.com/vi/g5c1bk8weaQ/default.jpg,False,False,False,"Having kids, having anxiety and not having boobs! Talking topics YOU tweeted! Trying something new here, and trying hard per usual lol. Thanks for watching babes! Stalk my other social medias down below: \n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nHelp yourself to this website! https://www.mentalhealth.gov/\n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nFun editing bits by: JOE VULPIS!\nCheck out this video of Joe and I (Comment LIZA IS CUTER THAN DAVID!) : https://youtu.be/oMO0Yix71Cg\n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nKeep up with this little brown girl!\nINSTAGRAM: http://instagram.com/lizakoshy\nTWEET ME: http://twitter.com/lizakoshy @LIZAKOSHY\nSNAPCHAT: @lizakoshysnaps\nMUSICAL.LY: @lizakoshy\nBUSINESS INQUIRIES: LizaKoshyPartner@gmail.com\n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nMusic Creds: \n•Jou Beats - Brasil\n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nWATCH MY OTHER VIDS!\nTARGET WITH LIZZZA PART 2!: https://www.youtube.com/watch?v=weGc3...\nWORLD'S BEST BEAUTY HACKS!: https://www.youtube.com/watch?v=w38IG...\nMEET JET!!: https://www.youtube.com/watch?v=6-u9o...\n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nPLEASE SUBSCRIBE!\nwww.youtube.com/lizakoshy\nwww.youtube.com/lizakoshytoo\n••••••••••••••••••••••••••••••••••••••••­­­•••••••••••\nThank you, lil talking thots lol\n\nLove,\nLiza"
jp9hK-jY6yY,17.14.11,When Someone Has A Crush on You | Lilly Singh,IISuperwomanII,23,2017-11-09T22:21:13.000Z,"iisuperwomanii|""iisuperwomenii""|""superwoman""|""superwomen""|""super""|""comedy""|""comedian""|""brown""|""indian""|""desi""|""punjabi""|""hindi""|""when someone has a crush on you""|""crush""|""crush on you""|""when a crush""|""crush you""|""on you""|""someone on""|""when someone""|""llsuperwomanll""|""lilly singh""|""lily singh""|""lily sing""|""lilly sing""|""IIsuperwomanII""|""someone has""|""you crush""|""when you""|""lilly""|""singh""|""when someone likes you""|""when someone has a crush""|""that feeling when""|""someone likes you""|""someone has a crush on you""|""lilly singh crush""",3371669,202676,3394,20086,https://i.ytimg.com/vi/jp9hK-jY6yY/default.jpg,False,False,False,"You know that feeling when someone has a crush on you!! Watch Lilly Singh break down the three phases of finding out someone likes her.\nSubscribe: http://bit.ly/1HiqYG0 | Follow my FB: https://facebook.com/IISuperwomanII/\nSkits: https://youtube.com/watch?v=jyxi0rfEDnE&list=PLuBXqtS2jaLMhu9PU0tAaHbnqloWibwl0\n\nIf you want to add translations, click the gear icon and go to Subtitles/CC then to Add subtitles or CC! \n\nFollow Roscoe (my boyfriend):\nInstagram: https://instagram.com/chickenanwaffles\n\nFollow IIManjeetII:\nInstagram: https://instagram.com/iiparamjeetii/\nTwitter: https://twitter.com/iiparamjeetii/\n\nFollow IIParamjeetII: \nInstagram: https://instagram.com/iimanjeetii/\nTwitter: https://twitter.com/iimanjeetii/\n\nGet HOW TO BE A BAWSE: https://lillysinghbook.com\n\nFollow IISuperwomanII:\nFacebook: https://facebook.com/IISuperwomanII/\nInstagram: https://instagram.com/iisuperwomanii/\nTwitter: https://twitter.com/iisuperwomanii\nSuperwomanVlog Channel: https://youtube.com/user/SuperwomanVlogs\nOfficial Website: http://lillysingh.com/\n\nWatch More IISuperwomanII:\nTypes Of People: https://youtube.com/watch?v=eR_nzGqYXNw&list=PLuBXqtS2jaLMu81JnF6AOnRHzG6Csbd6y\nMy Parents: https://youtube.com/watch?v=EPHMXbZml_s&list=PLuBXqtS2jaLOGQynSYvxaqUgvNl7Ovz8x\nSkits: https://youtube.com/watch?v=jyxi0rfEDnE&list=PLuBXqtS2jaLMhu9PU0tAaHbnqloWibwl0\nThe Super Rants: https://youtube.com/watch?v=KYadw8gNOok&list=PLuBXqtS2jaLPopv899QwFphiirmD_XWdq\nLatest Uploads: https://youtube.com/user/IISuperwomanII/videos?view=0&sort=dd&shelf_id=2\n\nThanks for watching and don't forget to keep smiling. You're worth it! xoxo"
t4YAyT4ihIQ,17.14.11,Getting My Driver's License | Lele Pons,Lele Pons,23,2017-11-10T18:30:01.000Z,"getting my drivers license|""lele""|""pons""|""getting""|""my""|""drivers""|""license""|""terrible soccer players""|""halloween costume contest""|""first time flying""|""how to not get bullied""|""lelepons""|""hannahstocking""|""rudymancuso""|""inanna""|""anwar""|""sarkis""|""shots""|""shotsstudios""|""alesso""|""anitta""|""brazil""|""Craziest Wisdom Teeth Removal Story | Hannah Stocking""|""| Hannah Stocking""|""Hannah Stocking""",3358068,120876,8279,6408,https://i.ytimg.com/vi/t4YAyT4ihIQ/default.jpg,False,False,False,WATCH MY PREVIOUS VIDEO ▶ https://youtu.be/T8jBIVi6rrM\n\nSUBSCRIBE HERE ▶ http://www.youtube.com/channel/UCi9cDo6239RAzPpBZO9y5SA?sub_confirmation=1\n\nTHANKS FOR WATCHING! :) LIKE & SUBSCRIBE FOR MORE VIDEOS!\n-----------------------------------------------------------\nFIND ME ON:\nInstagram | http://instagram.com/lelepons\nTwitter | http://twitter.com/lelepons\nFacebook | http://facebook.com/lele\nSnapchat | http://snapchat.com/add/lelepons \n\nCAST: \nLele Pons | http://youtube.com/c/lelepons\nJustin Taite | https://instagram.com/justintaite\nKatherine Lucia | https://instagram.com/katherinelucia\nFiammetta Cavatorta | https://instagram.com/fi_cavatorta\nYoung Ezee | http://instagram.com/youngezee\nNatalie Odell | http://instagram.com/natalie.odell\n\nShots Studios Channels:\nAlesso | https://youtube.com/c/alesso\nAnitta | http://youtube.com/c/anitta\nAnwar Jibawi | http://youtube.com/c/anwar\nAwkward Puppets | http://youtube.com/c/awkwardpuppets\nHannah Stocking | http://youtube.com/c/hannahstocking\nInanna Sarkis | http://youtube.com/c/inanna\nLele Pons | http://youtube.com/c/lelepons\nMaejor | http://youtube.com/c/maejor\nMike Tyson | http://youtube.com/c/miketyson \nRudy Mancuso | http://youtube.com/c/rudymancuso\nShots Studios | http://youtube.com/c/shots\n\n#Lele\n#LelePons
5qpjK5DgCt4,17.14.11,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",Rudy Mancuso,23,2017-11-12T19:05:24.000Z,"racist superman|""rudy""|""mancuso""|""king""|""bach""|""racist""|""superman""|""love""|""rudy mancuso poo bear black white official music video""|""iphone x by pineapple""|""lelepons""|""hannahstocking""|""rudymancuso""|""inanna""|""anwar""|""sarkis""|""shots""|""shotsstudios""|""alesso""|""anitta""|""brazil""|""Getting My Driver's License | Lele Pons""",3191434,146033,5339,8181,https://i.ytimg.com/vi/5qpjK5DgCt4/default.jpg,False,False,False,WATCH MY PREVIOUS VIDEO ▶ \n\nSUBSCRIBE ► https://www.youtube.com/channel/UC5jkXpfnBhlDjqh0ir5FsIQ?sub_confirmation=1\n\nTHANKS FOR WATCHING! LIKE & SUBSCRIBE FOR MORE VIDEOS!\n-----------------------------------------------------------\nFIND ME ON: \nInstagram | http://instagram.com/rudymancuso\nTwitter | http://twitter.com/rudymancuso\nFacebook | http://facebook.com/rudymancuso\n\nCAST: \nRudy Mancuso | http://youtube.com/c/rudymancuso\nLele Pons | http://youtube.com/c/lelepons\nKing Bach | https://youtube.com/user/BachelorsPadTv\n\nVideo Effects: \nCaleb Natale | https://instagram.com/calebnatale\n\nPA:\nPaulina Gregory\n\n\nShots Studios Channels:\nAlesso | https://youtube.com/c/alesso\nAnitta | http://youtube.com/c/anitta\nAnwar Jibawi | http://youtube.com/c/anwar\nAwkward Puppets | http://youtube.com/c/awkwardpuppets\nHannah Stocking | http://youtube.com/c/hannahstocking\nInanna Sarkis | http://youtube.com/c/inanna\nLele Pons | http://youtube.com/c/lelepons\nMaejor | http://youtube.com/c/maejor\nMike Tyson | http://youtube.com/c/miketyson \nRudy Mancuso | http://youtube.com/c/rudymancuso\nShots Studios | http://youtube.com/c/shots\n\n#Rudy\n#RudyMancuso
